source,enriched_description
../training_data_raw/components_ant/input-text-disabled-lg.svg,"size: 320x40, 
colors: #fafafa, #dbdbdb, 
shapes: rectangle, 
elements: g, rect, 
strokes: #dbdbdb, 
text: none."
../training_data_raw/components_ant/btn-danger-text-sm.svg,"Size: 104.00 x 24.00, Colors: #b1.00b2.00b5.00, Shapes: Rectangle with rounded corners, Elements: SVG, Strokes: None, Text: None, Class: btn-danger-text-sm."
../training_data_raw/components_ant/tootlip-top-right.svg,"Size: 166x68, Colors: #262626, Shapes: rect, path, Elements: filter, defs, g, Strokes: none, Text: none."
../training_data_raw/components_ant/tooltip-left-middle.svg,"size: 171x63, colors: #262626, shapes: rect, path, elements: filter, viewBox, defs, g, strokes: none, text: none."
../training_data_raw/components_ant/input-text-hover.svg,"size, 320x32, rectangle, rounded corners, white fill, transparent stroke, hover effect, SVG, vector graphic, input text."
../training_data_raw/components_ant/radio-inactive-checked.svg,"Size: 16x16, Colors: white, gray, blue, Shapes: rectangle, rounded rectangle, Elements: radio button, checkmark, Strokes: gray, Text: none."
../training_data_raw/components_ant/input-text-prefix-disabled-sm.svg,"size: 320x24, colors: #fafafa, #dbdbdb, shapes: rectangle, elements: svg, g, rect, strokes: #dbdbdb, text: none."
../training_data_raw/components_ant/btn-default-icon.svg,"Size: 129x32, Colors: white, gray, black, Shapes: rectangle, path, Elements: filter, defs, rect, path, Strokes: gray, Text: none."
../training_data_raw/components_ant/input-text-prefix-hover-sm.svg,"size, 320x24, colors, white, blue, shapes, rectangle, elements, svg, g, strokes, solid, text, none."
../training_data_raw/components_ant/btn-dashed-nolabel-lg.svg,"size: 40.00, colors: #fff, #dbdbdb, shapes: rect, path, elements: filter, feFlood, feColorMatrix, feOffset, feGaussianBlur, feBlend, strokes: round, dasharray, linecap, text: none."
../training_data_raw/components_ant/input-text-icon-disabled-lg.svg,"size, colors, shapes, elements, strokes, text, disabled, input, icon, rectangle, rounded corners, gray, white, stroke color, path, viewBox, fill, opacity, font, disabled state."
../training_data_raw/components_ant/radio-hover-label.svg,"Size: 66.10,18.00
Colors: #fff, #40.00a9.00ff
Shapes: rect
Elements: g
Strokes: #40.00a9.00ff
Text: none"
../training_data_raw/components_ant/btn-danger-dashed.svg,"Size: 120x32, Colors: #fff, #f5222.00d, Shapes: rectangle, Elements: filter, stroke, Text: none."
../training_data_raw/components_ant/checkbox-hover.svg,"Size: 16.00 x 16.00, Colors: #fff, #40.00a9.00ff, Shapes: rectangle with rounded corners, Elements: two layers, Strokes: one stroke in blue, Text: none."
../training_data_raw/components_ant/tootlip-top-middle.svg,"size: 166x67, colors: #262626, shapes: rect, path, elements: filter, defs, g, strokes: none, text: none."
../training_data_raw/components_ant/input-text-icons-hover.svg,"size: 320x32, 
colors: #fff, #1890.00ff, #bfbfbf, 
shapes: rectangle, path, 
elements: input text box, icons, 
strokes: yes, 
text: none."
../training_data_raw/components_ant/tooltip-bottom-middle.svg,"Size: 166x68, Colors: #262626, Shapes: rectangle, path, Elements: filter, defs, g, Strokes: none, Text: none."
../training_data_raw/components_ant/alert-icon-text.svg,"Size: 400x100, Colors: #fff1.00f0.00, #ff4.00d4.00f, Shapes: rectangle, path, Elements: alert icon, text, Strokes: #ff4.00d4.00f, Text: none."
../training_data_raw/components_ant/tooltip-left-top.svg,"size: 171x63, colors: #262626, shapes: rect, path, elements: filter, viewBox, defs, g, strokes: none, text: none."
../training_data_raw/components_ant/checkbox-hover-label.svg,"Size: 92.00,18.00
Colors: #fff, #40.00a9.00ff
Shapes: rect
Elements: g
Strokes: #40.00a9.00ff
Text: none"
../training_data_raw/components_ant/btn-dashed-nolabel.svg,"Size: 32.00
Colors: #fff, #dbdbdb
Shapes: rect, path
Elements: filter, defs, g
Strokes: stroke, stroke-dasharray, stroke-linecap
Text: none
Keywords: dashed, no label, round, filter, stroke, path, rect, colors, shapes, elements."
../training_data_raw/components_ant/btn-dashed-icon-lg.svg,"size: 129x40, colors: white, gray, shapes: rectangle, path, elements: filter, stroke, text, strokes: dashed, linecap, text: none."
../training_data_raw/components_ant/btn-primary-icon-sm.svg,"Size: 129x24, Colors: #1890ff, #fff, Shapes: rectangle, path, Elements: filter, defs, feFlood, feColorMatrix, feOffset, feGaussianBlur, feBlend, Strokes: none, Text: none."
../training_data_raw/components_ant/input-text-sm.svg,"size, 320x24, white, rectangle, rounded corners, stroke, gray, input field, no text, SVG format."
